no,prob
21,6.913002495e-11
22,1.458502068e-08
23,5.12747852e-07
24,6.801012408e-06
25,4.722803733e-05
26,0.000205311645
27,0.000626038976
28,0.001450314743
29,0.002711778081
30,0.004295666231
31,0.006002753522
32,0.007656857431
33,0.009170707595
34,0.01054350733
35,0.01182017396
36,0.01305146827
37,0.01427318873
38,0.01550247285
39,0.01674224355
40,0.01798690166
41,0.01922644069
42,0.02044875675
43,0.02164079007
44,0.02278910168
45,0.02388023391
46,0.02490100546
47,0.02583878915
48,0.02668178035
49,0.02741925128
50,0.02804178417
51,0.02854147564
52,0.02891210643
53,0.02914927102
54,0.02925046339
55,0.02921511689
56,0.02904459723
57,0.0287421498
58,0.02831280348
59,0.02776323505
60,0.02710159867
61,0.02633732575
62,0.02548089844
63,0.02454359597
64,0.02353720574
65,0.02247368517
66,0.02136476259
67,0.0202214844
68,0.01905375262
69,0.01786994096
70,0.01667670722
71,0.0154791108
72,0.01428108533
73,0.01308622001
74,0.01189869951
75,0.01072418149
76,0.009570381983
77,0.008447198479
78,0.007366310373
79,0.006340321504
80,0.005381612701
81,0.004501126867
82,0.003707306556
83,0.003005352799
84,0.002396894325
85,0.001880071699
86,0.001449970844
87,0.001099296549
88,0.0008191615747
89,0.0005998766613
90,0.0004316527879
91,0.000305160271
92,0.0002119218706
93,0.0001445437152
94,9.680607468e-05
95,6.364562646e-05
96,4.106323243e-05
97,2.598847297e-05
98,1.612645063e-05
99,9.805535137e-06
100,5.838107064e-06
101,3.400762196e-06
102,1.936202555e-06
103,1.07617368e-06
104,5.831271316e-07
105,3.075200895e-07
106,1.575284307e-07
107,7.819947781e-08
108,3.751429669e-08
109,1.733359116e-08
110,7.683149466e-09
111,3.251261399e-09
112,1.305824098e-09
113,4.942345601e-10
114,1.747281112e-10
115,5.706432148e-11
116,1.697398587e-11
117,4.51373255e-12
118,1.046270838e-12
119,2.03960172e-13
120,3.168255468e-14
121,3.589311095e-15
122,2.507844203e-16
123,7.081058993e-18
